"id","ta_abbr","tech_area","cntr_abbr","country","priority"
2281,"p7","Immunization","SAU","saudi arabia","Increase communication for behavioural change and impact across social media and other communication platforms."
2282,"d1","National Laboratory System","SAU","saudi arabia","Develop and implement national standardized testing algorithms and SOPs for selected core tests and pathogens of concern."
2283,"d2","Real Time Surveillance","SAU","saudi arabia","Conduct the planned evaluation of HESN."
2284,"d3","Reporting","SAU","saudi arabia","Conduct simulation exercises to test the capacity and timely reporting of chemical and radiation events to WHO through the IHR NFP. 2"
2285,"d4","Workforce Development","SAU","saudi arabia","Establish career paths for public health workers (including FETP graduates), with financial and professional incentives as well as recognition of national training programmes."
2286,"r5","Risk Communication","SAU","saudi arabia","Expand the volunteer network to reach local communities across the country."
2287,"poe","Points of Entry","SAU","saudi arabia","Enhance the capacity of human resources at PoE for the early detection, investigation and response to all hazards."
2288,"re","Radiation Emergencies","SAU","saudi arabia","Improve participation of the medical sector in national and international exercises and training, to identify areas of improvement. 52 of IHR Core Capacities of the Kingdom of Saudi Arabia"
2289,"p3","Antimicrobial Resistance","SAU","saudi arabia","Share AMR data with epidemiologists for real-time analysis for reporting, detection and response."
2290,"p7","Immunization","SAU","saudi arabia","Call for proposals for long-term contracts with vaccine manufacturing companies and localize an essential vaccines industry."
2291,"d1","National Laboratory System","SAU","saudi arabia","Ensure participation of all health laboratories in appropriate EQAS."
2292,"r5","Risk Communication","SAU","saudi arabia","Integrate feedback and lessons learnt from the listening and rumour system into high-level MoH decision-making."
2293,"p3","Antimicrobial Resistance","SAU","saudi arabia","Assess the burden of AMR in Saudi Arabia and its impact on morbidity, mortality and the economy."
2294,"d4","Workforce Development","SEN","senegal","To meet the needs that came to light during the evaluation, the following actions were recommended by the team of national experts and discussed with the external experts:"
2295,"p1","National legislation, Policy and Financing","SEN","senegal","Sign the draft ministerial order on creating and defining the organization and role of the national IHR focal point."
2296,"p2","IHR Coordination, Communication and Advocacy","SEN","senegal","Speed up the process of approving the draft order determining the multidisciplinary and multisectoral makeup and missions of the national IHR focal point."
2297,"p3","Antimicrobial Resistance","SEN","senegal","Draw up a national action plan to tackle antimicrobial resistance, taking into account the global action plan on antimicrobial resistance, which spans both animal and human health."
2298,"p4","Zoonotic Disease","SEN","senegal","Develop an integrated national surveillance plan that includes laboratories, in keeping with the One Health approach, followed by a joint response plan covering the animal health, human health and wildlife sectors."
2299,"p5","Food Safety","SEN","senegal","Put in place a functional multisectoral coordination mechanism (surveillance, alert and operational personnel) for food safety activities."
2300,"p6","Biosafety and Biosecurity","SEN","senegal","Draw up regulations to harmonize the institutional framework for biosafety and biosecurity."
2301,"p7","Immunization","SEN","senegal","Draw up exhaustive plans to reach every child."
2302,"d1","National Laboratory System","SEN","senegal","Set up a multisectoral technical group (human, animal and environmental health, and food safety) to coordinate the laboratory system, as provided for in the IHR (2005)."
2303,"d2","Real Time Surveillance","SEN","senegal","Include event-based and community-based surveillance in the surveillance system."
2304,"d3","Reporting","SEN","senegal","Conduct a multisectoral assessment of events that could represent a public health emergency of international concern using risk mapping (and taking account of unusual events)."
2305,"d4","Workforce Development","SEN","senegal","define and apply procedures for technical coordination between different sectors in terms of the workforce development strategy;"
2306,"r1","Preparedness","SEN","senegal","Speed up implementation of the Ministry of the Interior s inter-ministerial crisis management operations centre (COGIC) to ensure better coordination between the ORSEC response plan and the sector-specific contingency plans."
2307,"r2","Emergency Response Operations","SEN","senegal","Define a formal mechanism for cooperating and coordinating with key services, directorates and sectors involved in managing health emergencies, in accordance with the One Health approach."
2308,"r3","Linking Public Health and Security Authorities","SEN","senegal","Establish a memorandum of understanding between the public health sector and the security authorities at the national, intermediary and local levels to encourage information sharing and cooperation. 46 of IHR Core Capacities of the Republic of Senegal"
2309,"r4","Medical Countermeasures and Personnel Deployment","SEN","senegal","Evaluate national capacities for stockpiling medical and operational countermeasures and adjust those capacities to meet the operational requirements of a public health emergency of national or international concern."
2310,"r5","Risk Communication","SEN","senegal","Endorse the coordination framework for risk communication in IHR (2005)-related health crises."
2311,"poe","Points of Entry","SEN","senegal","Update and strengthen the legal and institutional framework governing implementation of the IHR (2005) at points of entry."
2312,"ce","Chemical Emergencies","SEN","senegal","Develop and put in place a strategic plan for managing chemical safety that includes all regions."
2313,"re","Radiation Emergencies","SEN","senegal","Draw up a specific emergency plan for the multisectoral management of radiation emergencies and put in place an annual or biannual programme for conducting exercises to test the plan."
2314,"p1","National legislation, Policy and Financing","SEN","senegal","Put in place a legal framework for cross-border cooperation to ensure rapid exchanges of information on public health events and a multisectoral response."
2315,"p2","IHR Coordination, Communication and Advocacy","SEN","senegal","Determine SOPs for coordinating and integrating sectors involved in implementing the IHR (2005)."
2316,"p3","Antimicrobial Resistance","SEN","senegal","Set up a coordination mechanism for different multisectoral operations concerning antimicrobial resistance."
2317,"p4","Zoonotic Disease","SEN","senegal","Review the curricula for training in animal, human and environmental health, to take account of the One Health approach."
2318,"p5","Food Safety","SEN","senegal","Make emergency reporting and response procedures relating to food safety operational (e.g. define stakeholders roles and responsibilities, modus operandi, risk communication, etc.)."
2319,"p6","Biosafety and Biosecurity","SEN","senegal","Establish standards and directives to strengthen national biosecurity and biosafety capacities."
2320,"p7","Immunization","SEN","senegal","Monitor points of entry (airport, port and land borders)."
2321,"d1","National Laboratory System","SEN","senegal","Assess the existing laboratories at the national level and in all sectors (human, animal and environmental health, and food safety)."
2322,"d2","Real Time Surveillance","SEN","senegal","Integrate hospitals and the private sector into the surveillance system; identify focal points for surveillance and get information circuits up and running."
2323,"d3","Reporting","SEN","senegal","Establish multisectoral SOPs for sharing information between the national IHR focal point and the OIE national delegate."
2324,"d4","Workforce Development","SEN","senegal","allocate biostatisticians, IT experts and biotechnicians to human, animal and environmental health functions;"
2325,"r1","Preparedness","SEN","senegal","Define the mechanisms for cooperating and coordinating between the COGIC and the sector-specific EOCs."
2326,"r2","Emergency Response Operations","SEN","senegal","Draw up specific plans and procedures for the identified priority diseases."
2327,"r3","Linking Public Health and Security Authorities","SEN","senegal","Improve communication to ensure a more formalized and more timely exchange of information encompassing human health, animal health and all other sectors involved."
2328,"r4","Medical Countermeasures and Personnel Deployment","SEN","senegal","Draw up a sector-specific contingency plan for sending and receiving medical countermeasures and personnel as part of a regional or international cooperation programme, taking into account the various aspects of human and animal health."
2329,"r5","Risk Communication","SEN","senegal","Draw up a national multi-risk communication plan for IHR (2005)-related health crises (by revising and adapting documents such as the national communication plan for EVD)."
2330,"poe","Points of Entry","SEN","senegal","Develop SOPs that set out the roles and obligations of the health checkpoints, the involvement of other sectors in health activities at points of entry, and the coordination and communication mechanisms within the country and with other countries."
2331,"ce","Chemical Emergencies","SEN","senegal","Draw up nationwide standards, guidelines and protocols for the assessment, surveillance and handling of priority chemicals."
2332,"re","Radiation Emergencies","SEN","senegal","Train those involved in how to detect and respond to radiation emergencies."
2333,"p1","National legislation, Policy and Financing","SEN","senegal","Create a platform for cooperating and sharing information between the national IHR focal point and the animal health focal point (i.e. the OIE delegate) as part of the One Health initiative."
2334,"p2","IHR Coordination, Communication and Advocacy","SEN","senegal","Mobilize the necessary resources for the national IHR focal point."
2335,"p3","Antimicrobial Resistance","SEN","senegal","Strengthen integrated and multisectoral surveillance of antimicrobial resistance."
2336,"p4","Zoonotic Disease","SEN","senegal","Improve geographical coverage of human resources in order to meet the standards set by OIE and WHO."
2337,"p5","Food Safety","SEN","senegal","Review and harmonize food safety legislation and regulations so that they include crisis management."
2338,"p6","Biosafety and Biosecurity","SEN","senegal","Put in place standard biosecurity and biosafety training."
2339,"p7","Immunization","SEN","senegal","Draw up a logistics maintenance plan (cold chain, transport logistics)."
2340,"d1","National Laboratory System","SEN","senegal","Draw up a national strategic laboratory plan incorporating the various sectors and the different aspects of the laboratories."
2341,"d2","Real Time Surveillance","SEN","senegal","Ensure the interoperability of the real-time electronic reporting system for human health and connect it with the platform used for animal health surveillance."
2342,"d3","Reporting","SEN","senegal","Put in place an interoperable and interconnected reporting system for human health and animal health concerning common priority diseases (zoonotic diseases)."
2343,"d4","Workforce Development","SEN","senegal","institutionalize intermediary and advanced FETPs;"
2344,"r1","Preparedness","SEN","senegal","Include health emergency management at points of entry in the contingency plan for health emergencies and disasters."
2345,"r2","Emergency Response Operations","SEN","senegal","Draw up/finalize EOC plans and procedures for the sectors with important roles (investigation, treatment, communication, collaboration with key partners)."
2346,"r3","Linking Public Health and Security Authorities","SEN","senegal","Conduct an annual joint operation or exercise that involves exchanging information between public health services and the security authorities based on the memorandum established."
2347,"r4","Medical Countermeasures and Personnel Deployment","SEN","senegal","Establish procedures and terms of involvement of the sector in receiving medical countermeasures and personnel in IHR (2005) relevant health emergencies."
2348,"r5","Risk Communication","SEN","senegal","Establish a work programme for increasing the communications capacity of teams involved in IHR (2005)-related health crises."
2349,"poe","Points of Entry","SEN","senegal","Allocate sufficient human, material and financial resources to the health checkpoints so that they can fulfil their inspection, surveillance, response and health coordination missions at points of entry."
2350,"ce","Chemical Emergencies","SEN","senegal","Strengthen the network of existing databases by collecting and distributing information centrally."
2351,"re","Radiation Emergencies","SEN","senegal","Set up a national surveillance network for radioactivity in the air."
2352,"p3","Antimicrobial Resistance","SEN","senegal","Better coordinate multisectoral operations and strengthen ties between human and animal health laboratories. 1"
2353,"p5","Food Safety","SEN","senegal","Create an electronic, multisectoral platform for sharing surveillance data on food safety, in connection with existing information systems."
2354,"p6","Biosafety and Biosecurity","SEN","senegal","Strengthen logistical capacities and the ongoing training of laboratory staff."
2355,"p7","Immunization","SEN","senegal","Carry out closer supervision at a district level to ensure proper management of the cold chain and vaccines."
2356,"d1","National Laboratory System","SEN","senegal","Produce regulations similar to the French guidelines to regulate analytical practices in laboratories across sectors."
2357,"d2","Real Time Surveillance","SEN","senegal","Draft and approve an agreement for sharing surveillance information between the human and animal health sectors, with a focus on coordination between the two sectors."
2358,"d4","Workforce Development","SEN","senegal","draw up an appropriate training, motivation and monitoring policy to ensure the development of a qualified public health workforce;"
2359,"r1","Preparedness","SEN","senegal","Speed up resource mapping for hazard management and priority risks under the IHR (2005)."
2360,"r2","Emergency Response Operations","SEN","senegal","Put in place rapid response teams at all levels of the health system."
2361,"r3","Linking Public Health and Security Authorities","SEN","senegal","Put in place mixed checkpoints that cover human and veterinary health at each border crossing."
2362,"r4","Medical Countermeasures and Personnel Deployment","SEN","senegal","Test the sector-specific contingency plan for sending and receiving medical countermeasures and personnel. 48 of IHR Core Capacities of the Republic of Senegal"
2363,"r5","Risk Communication","SEN","senegal","Organize and determine mechanisms for managing rumours during crises and public health emergencies of national or international concern."
2364,"poe","Points of Entry","SEN","senegal","Develop surveillance and response capacities at land border crossings."
2365,"ce","Chemical Emergencies","SEN","senegal","Develop and put in place a public health management strategy in the event of a chemical event or emergency, which covers the central level and all regions by: m strengthening the capacity of sectoral laboratories to ensure systematic analysis m drawing up an inventory of referral health facilities for chemical safety m applying protocols/guidelines for treating chemical hazard victims."
2366,"re","Radiation Emergencies","SEN","senegal","Provide vehicle border crossings, ports and airports with radiation detection systems."
2367,"p3","Antimicrobial Resistance","SEN","senegal","Strengthen stakeholders capacities to implement the national action plan."
2368,"p5","Food Safety","SEN","senegal","Officially create a national multisectoral risk assessment entity to identify real threats relative to detected signals. 1"
2369,"p7","Immunization","SEN","senegal","Conduct a study on immunization performance constraints."
2370,"d1","National Laboratory System","SEN","senegal","Improve intersectoral collaboration and information sharing in key areas (transport of specimens, biosafety, supply of consumables and reagents, etc.)."
2371,"d2","Real Time Surveillance","SEN","senegal","Strengthen the capacity for analysing surveillance data at all levels of the health pyramid."
2372,"r2","Emergency Response Operations","SEN","senegal","Draw up a resource mobilization strategy (set up an emergency fund, adequate logistics, project financing and EOC functioning)."
2373,"r3","Linking Public Health and Security Authorities","SEN","senegal","Strengthen the capacities of public health workers and security personnel in areas linked to information sharing and investigations/operations, and provide them with the necessary resources."
2374,"poe","Points of Entry","SEN","senegal","Develop, test and implement public health emergency plans at points of entry that are integrated into existing strategic plans."
2375,"ce","Chemical Emergencies","SEN","senegal","Join international chemical and toxicology networks. 58 of IHR Core Capacities of the Republic of Senegal"
2376,"re","Radiation Emergencies","SEN","senegal","Put in place directives and equip the laboratories concerned so that they can detect radiation in food."
2377,"p7","Immunization","SEN","senegal","Set up a committee to look at priority actions and the possibility of including zoonotic diseases."
2378,"d1","National Laboratory System","SEN","senegal","Strengthen early detection of dangerous and emerging pathogens by supporting the national referral laboratories in their development of new diagnostic tools adapted to a low-resource country."
2379,"p1","National legislation, Policy and Financing","SLE","sierra leone","Hasten the review of the Public Health Ordinance and develop related policy guidelines."
2380,"p2","IHR Coordination, Communication and Advocacy","SLE","sierra leone","Set up a National IHR Focal Point within the PHEOC supported by SOPs."
2381,"p3","Antimicrobial Resistance","SLE","sierra leone","Support the implementation of the National Health Laboratory Strategic Plan 2016 2020 and the GHSA 5-year roadmap for the advancement of in-country antimicrobial resistance laboratory capacity."
2382,"p4","Zoonotic Disease","SLE","sierra leone","Build and develop capacity for animal health and veterinary public health including human resources and organizational structure."
2383,"p5","Food Safety","SLE","sierra leone","Establish an interagency coordination platform or other mechanism to ensure strong cooperation among all food safety stakeholders in the country to facilitate the implementation of the food safety programme."
2384,"p6","Biosafety and Biosecurity","SLE","sierra leone","Establish and enact legislation and regulations on biosafety and biosecurity."
2385,"p7","Immunization","SLE","sierra leone","Track development of the new cMYP (2017 2021) by the end of 2016."
2386,"d1","National Laboratory System","SLE","sierra leone","Develop functional capacity within the entire animal laboratory system including at the Central Veterinary Laboratory."
2387,"d2","Real Time Surveillance","SLE","sierra leone","Finalize roll out of CBS and strengthen event-based surveillance systems."
2388,"d3","Reporting","SLE","sierra leone","Designate and train all ministry and sector focal point personnel so as to constitute a National IHR Focal Point team."
2389,"d4","Workforce Development","SLE","sierra leone","Revisit pre-service curricula of health staff to ensure that aspects of One Health and integrated disease surveillance are covered in pre-service training."
2390,"r1","Preparedness","SLE","sierra leone","Conduct risk and resources mapping of all priority public health risks."
2391,"r2","Emergency Response Operations","SLE","sierra leone","Increased training and retention of surge capacity staff in emergency response operations competencies."
2392,"r3","Linking Public Health and Security Authorities","SLE","sierra leone","Create a formal agreement to give guidance and improve coordination and collaboration between all stakeholders."
2393,"r4","Medical Countermeasures and Personnel Deployment","SLE","sierra leone","Develop or update plans to direct the procurement, distribution and utilization of medical countermeasures and the exchange of medical, public health and veterinary personnel on an emergency basis."
2394,"r5","Risk Communication","SLE","sierra leone","Finalize the EOC communications strategic plan."
2395,"poe","Points of Entry","SLE","sierra leone","Develop policy, SOPs, guidelines and plans for port health."
2396,"ce","Chemical Emergencies","SLE","sierra leone","Develop a strategic plan for chemical safety."
2397,"re","Radiation Emergencies","SLE","sierra leone","Advocate for an increase in the number of human resources to meet the needs for radiation safety."
2398,"p1","National legislation, Policy and Financing","SLE","sierra leone","Review other laws touching on the implementation of the IHR and develop their policy guidelines."
2399,"p2","IHR Coordination, Communication and Advocacy","SLE","sierra leone","Strengthen veterinary and animal health joint working and event surveillance (One Health)."
2400,"p3","Antimicrobial Resistance","SLE","sierra leone","Ensure reporting of antimicrobial resistance is incorporated in the MOHS pathogen reporting systems with plans and procedures for sharing reports for action and strategic planning. 10 of IHR Core Capacities of the Republic of Sierra Leone"
2401,"p4","Zoonotic Disease","SLE","sierra leone","Implement a One Health framework with joint planning, data and information sharing and joint response."
2402,"p5","Food Safety","SLE","sierra leone","Accelerate the Parliamentary ratification of the Food Safety Act and establish food safety standards."
2403,"p6","Biosafety and Biosecurity","SLE","sierra leone","Develop national guidelines on biosafety and biosecurity."
2404,"p7","Immunization","SLE","sierra leone","Implement recommendations of the cold chain assessment as soon as possible."
2405,"d1","National Laboratory System","SLE","sierra leone","Establish a functional bacteriology section in the CPHRL."
2406,"d2","Real Time Surveillance","SLE","sierra leone","Strengthen animal health surveillance at all levels."
2407,"d3","Reporting","SLE","sierra leone","Further training for National IHR Focal Point and OIE focal point personnel and other ministry and sector representatives."
2408,"d4","Workforce Development","SLE","sierra leone","Develop minimum standards for animal and human health staffing levels that include (among others) social scientists and revisit HRH strategies for their inclusion."
2409,"r1","Preparedness","SLE","sierra leone","Develop and implement multi-hazard a NPHEPR plan that includes a costing element."
2410,"r2","Emergency Response Operations","SLE","sierra leone","Government ownership as demonstrated by dedicated budgetary support to ensure sustainable funding and authority to the national EOC to mobilize resources required for response."
2411,"r3","Linking Public Health and Security Authorities","SLE","sierra leone","Formalize agreement between security and health at PoEs."
2412,"r4","Medical Countermeasures and Personnel Deployment","SLE","sierra leone","Expand stocks of medical countermeasures (for example, vaccines, antibiotics, infection control supplies and rapid diagnostic tests) to cover all-hazard emergency contingencies, including zoonotic infections."
2413,"r5","Risk Communication","SLE","sierra leone","Develop a training plan to meet the capacity gaps in risk communication."
2414,"poe","Points of Entry","SLE","sierra leone","Conduct capacity assessments at major border crossings and establish PoEs for their designation."
2415,"ce","Chemical Emergencies","SLE","sierra leone","Develop comprehensive guidelines or manuals on surveillance, assessment and management of chemical events to support the implementation of the strategic plan for chemical safety."
2416,"re","Radiation Emergencies","SLE","sierra leone","Improve laboratory capacity for the detection and response to all radiological and nuclear emergencies."
2417,"p1","National legislation, Policy and Financing","SLE","sierra leone","Sensitize relevant stakeholders to this law."
2418,"p2","IHR Coordination, Communication and Advocacy","SLE","sierra leone","Commence regular meetings of the National IHR Focal Point with all line ministries and key agencies."
2419,"p3","Antimicrobial Resistance","SLE","sierra leone","Create a monitoring and evaluation framework to ensure routine assessment, data management, analysis and reporting in antimicrobial resistance."
2420,"p4","Zoonotic Disease","SLE","sierra leone","Strengthen surveillance for zoonoses with the development of country guidelines."
2421,"p5","Food Safety","SLE","sierra leone","Establish a National Food Safety Authority and sanitary court."
2422,"p6","Biosafety and Biosecurity","SLE","sierra leone","Establish a regulatory framework for laboratory practice in line with the national laboratory strategy."
2423,"p7","Immunization","SLE","sierra leone","Conduct refresher training of District Health Management Teams (DHMTs) on the District Vaccination Data Management Tool. 22 of IHR Core Capacities of the Republic of Sierra Leone"
2424,"d1","National Laboratory System","SLE","sierra leone","Finalize and implement the draft sample transportation policy and SOPs. 2"
2425,"d2","Real Time Surveillance","SLE","sierra leone","Use the One Health platform to improve information sharing."
2426,"d3","Reporting","SLE","sierra leone","Develop legislation, policies, guidelines and SOPs for reporting."
2427,"d4","Workforce Development","SLE","sierra leone","Work on retention strategies for animal health staff."
2428,"r1","Preparedness","SLE","sierra leone","Develop a stockpiling emergency plan and establish mechanisms for accessing funds for emergencies and supplies."
2429,"r2","Emergency Response Operations","SLE","sierra leone","Develop curriculum and institutionalized EOC and simulation training programmes."
2430,"r4","Medical Countermeasures and Personnel Deployment","SLE","sierra leone","Enter agreements with medical countermeasure manufacturers and distributors to accommodate accelerated procurement of medical countermeasures during public health emergencies."
2431,"r5","Risk Communication","SLE","sierra leone","Establish a formal mechanism to coordinate communication with the private sector during an emergency. 4"
2432,"poe","Points of Entry","SLE","sierra leone","Establish or strengthen routine inspection programmes at PoEs with 24 hour appropriate services."
2433,"ce","Chemical Emergencies","SLE","sierra leone","Establish a coordination mechanism nationally and at regional and district levels for the detection and response to chemical events and emergencies, to include a public health plan for chemical incidents and emergencies."
2434,"re","Radiation Emergencies","SLE","sierra leone","Incorporate responding to chemical and radiological emergencies in the draft public health incident and emergency response plan."
2435,"p1","National legislation, Policy and Financing","SLE","sierra leone","Assess the Environmental Protection Act and MAFFS."
2436,"p2","IHR Coordination, Communication and Advocacy","SLE","sierra leone","Start tri-hazards chemical, radiation and infection surveillance and risk assessment within the National IHR Focal Point."
2437,"p3","Antimicrobial Resistance","SLE","sierra leone","Conduct a survey on antibiotic use."
2438,"p4","Zoonotic Disease","SLE","sierra leone","Strengthen technical capacity for animal health including technical capacity development programmes."
2439,"p5","Food Safety","SLE","sierra leone","Develop and disseminate guidelines and training programmes for surveillance, response, diagnostic laboratory testing for food safety."
2440,"p6","Biosafety and Biosecurity","SLE","sierra leone","Ensure implementation of the Strengthening of Laboratory Management Towards Accreditation (SLMTA) programme as a quality improvement process."
2441,"p7","Immunization","SLE","sierra leone","Devise strategies for accessing hard to reach areas and urban children to achieve the reach every child target."
2442,"d1","National Laboratory System","SLE","sierra leone","Complete the SLMTA process as part of the quality improvement system."
2443,"d2","Real Time Surveillance","SLE","sierra leone","Improve technical capacity by training and mentoring personnel including clinical, laboratory and middle-level management staff."
2444,"d3","Reporting","SLE","sierra leone","Develop regional multilateral and bilateral arrangements for information sharing."
2445,"d4","Workforce Development","SLE","sierra leone","Fast track the recruitment process into vacant posts."
2446,"r4","Medical Countermeasures and Personnel Deployment","SLE","sierra leone","Improve access to veterinary countermeasures by leveraging existing supranational partnerships, for example, OIE Canine Rabies Vaccine Bank."
2447,"r5","Risk Communication","SLE","sierra leone","Allocate a dedicated budget line in MOHS and MAFFS for addressing communications response."
2448,"poe","Points of Entry","SLE","sierra leone","Finalize the national aviation public health emergency preparedness plan."
2449,"ce","Chemical Emergencies","SLE","sierra leone","Advocate for an increase in the number of human resources to meet the needs of chemical safety. 56 of IHR Core Capacities of the Republic of Sierra Leone"
2450,"re","Radiation Emergencies","SLE","sierra leone","Allocate sufficient budget to meet demand in the event of a radiation emergency."
2451,"p1","National legislation, Policy and Financing","SLE","sierra leone","Improve, update or develop MOUs and other cross-border bilateral agreements to make them more comprehensive, beyond EVD."
2452,"p2","IHR Coordination, Communication and Advocacy","SLE","sierra leone","Build technical capacity for the National IHR Focal Point function by training technical people on IHR implementation areas."
2453,"p3","Antimicrobial Resistance","SLE","sierra leone","Develop an action plan to address gaps in sustainable adequate isolation capacity in tertiary hospitals."
2454,"p4","Zoonotic Disease","SLE","sierra leone","Strengthen animal health clinical and laboratory services. 1"
2455,"p5","Food Safety","SLE","sierra leone","Finalize and disseminate the SOP for the disposal of food items unfit for human consumption."
2456,"d1","National Laboratory System","SLE","sierra leone","Establish a mechanism for the regulation of laboratory practice in the country including private laboratories."
2457,"d2","Real Time Surveillance","SLE","sierra leone","Involve the private sector in surveillance"
2458,"d4","Workforce Development","SLE","sierra leone","Develop plans for the sustainability of the basic field epidemiology and laboratory training programme (FELTP) that includes veterinarian and laboratory staff and for advanced training in the western African Region to expand developed capacities."
2459,"r4","Medical Countermeasures and Personnel Deployment","SLE","sierra leone","Develop a distribution matrix for veterinary countermeasures for utilization at both national and regional levels."
2460,"r5","Risk Communication","SLE","sierra leone","Sustain feedback loops between district teams and communities within localities."
2461,"re","Radiation Emergencies","SLE","sierra leone","Conduct simulation exercises on the appropriate response to radiation emergencies. 5"
2462,"p1","National legislation, Policy and Financing","SLE","sierra leone","Improve intersectoral collaboration."
2463,"d2","Real Time Surveillance","SLE","sierra leone","Finalize and deploy the electronic surveillance reporting platform that will be integrated and interoperable with other systems."
2464,"p1","National legislation, Policy and Financing","SVN","slovenia","Continue the current strategy of combining national security and public health preparedness, while considering legislative or policy mechanisms to achieve an all-hazards/One Health approach."
2465,"p2","IHR Coordination, Communication and Advocacy","SVN","slovenia","Coordinate with agencies to transform the multitude of individual plans/standard operating procedures (SOPs) into effective all-hazards SOPs consistent across all ministries, with annexes to help guide responses to unique situations."
2466,"p3","Antimicrobial Resistance","SVN","slovenia","Expand existing protocols for identification of infections with resistant organisms to all medical facilities, consistent with WHO and ECDC guidance."
2467,"p4","Zoonotic Disease","SVN","slovenia","Identify and strategically address common gaps in national human and animal health system capacities to prevent, detect and respond to zoonoses, through assessments and regularly scheduled One Health ministerial meetings."
2468,"p5","Food Safety","SVN","slovenia","Officially adopt the National Contingency Plan on the management of unusual events associated with food or feed, and test it via simulation exercises involving all stakeholders."
2469,"p6","Biosafety and Biosecurity","SVN","slovenia","Establish a comprehensive national level body for biosafety and biosecurity, and develop a formal, multisectoral mechanism for oversight and monitoring of dangerous pathogens."
2470,"p7","Immunization","SVN","slovenia","Strengthen and expand programmes within the NIPH to develop health promotion activities and apply risk communication principles, with targeted promotion and communication activities for specific risk groups."
2471,"d1","National Laboratory System","SVN","slovenia","Designate official public health reference laboratories for priority diseases, and consider central funding for their human and technical resources."
2472,"d2","Real Time Surveillance","SVN","slovenia","Expand existing infrastructure (at local, regional and national levels) to establish electronic case reporting for notifiable conditions from the local level."
2473,"d3","Reporting","SVN","slovenia","Improve understanding and fulfilment of OIE and WHO reporting requirements among wider stakeholder groups, through the establishment of a multisectoral procedure for the assessment of potential events, and regular multisectoral communications and training."
2474,"d4","Workforce Development","SVN","slovenia","Develop a comprehensive, multidisciplinary public health workforce policy to address targets based on national priorities and international requirements, with strategies for recruitment, training and retention."
2475,"r1","Preparedness","SVN","slovenia","Designate a special unit at the Ministry of Health for permanent, interdisciplinary work on preparedness planning, coordination, communication and education."
2476,"r2","Emergency Response Operations","SVN","slovenia","Exchange best practices among various operations centres and ensure education and collaborative exercises with all partners."
2477,"r3","Linking Public Health and Security Authorities","SVN","slovenia","Strengthen monitoring and detection of global health security issues, with focus on new and emerging threats."
2478,"r4","Medical Countermeasures and Personnel Deployment","SVN","slovenia","Develop a plan for exercising the receipt and integration of international public health and medical personnel during an emergency. 4"
2479,"r5","Risk Communication","SVN","slovenia","Integrate risk communication as a recognised core element of emergency preparedness and response management and decision-making."
2480,"poe","Points of Entry","SVN","slovenia","Develop a plan for periodic public health emergency training and simulation exercises at points of entry to improve multisectoral preparedness and response."
2481,"ce","Chemical Emergencies","SVN","slovenia","Based on recent events and lessons, evaluate, revise and exercise the existing national response plan(s) for chemical events in order to improve immediate response activities and risk communication."
2482,"re","Radiation Emergencies","SVN","slovenia","Adopt guidelines (these are already under preparation) for managing medical responses in nuclear or radiological emergencies for all local, regional and national levels of response, including operational procedures for triage and treatment of contaminated and/or exposed patients, etc."
2483,"p1","National legislation, Policy and Financing","SVN","slovenia","Strengthen health security programmes within the Ministry of Health, with a focus on public health emergency prevention and preparedness for example, by creating a special staff section assigned to coordinate national capacities, and developing multisectoral policies and plans that complement the national civil protection strategy."
2484,"p2","IHR Coordination, Communication and Advocacy","SVN","slovenia","Formalize and regularly exercise multisectoral risk assessments for all situations, using the criteria in IHR Annex 2."
2485,"p3","Antimicrobial Resistance","SVN","slovenia","Establish a multisectoral working group to evaluate current antimicrobial resistance and antibiotic stewardship programmes, and develop a national antimicrobial resistance action plan consistent with the WHO AMR Global Action Plan."
2486,"p4","Zoonotic Disease","SVN","slovenia","Develop standard operating procedures (SOPs) for coordinated surveillance activity and information sharing between human and animal health sectors."
2487,"p5","Food Safety","SVN","slovenia","Engage in training exercises to sustain and improve the technical capacities of competent authorities in charge of food safety and food business operators."
2488,"p6","Biosafety and Biosecurity","SVN","slovenia","Ensure sustainable funding for biosafety equipment and programmes."
2489,"p7","Immunization","SVN","slovenia","Conduct additional training for vaccination workers."
2490,"d1","National Laboratory System","SVN","slovenia","Accredit public health laboratories according to international standards, and continue using external quality assessments for quality assurance."
2491,"d2","Real Time Surveillance","SVN","slovenia","Standardize forms/lists of variables for electronic reporting of communicable diseases from microbiological laboratories."
2492,"d3","Reporting","SVN","slovenia","Invest in upgrading IT systems, to improve the quality and timeliness of disease communications both within and between key stakeholder sectors. 34 of IHR Core Capacities of the Republic of Slovenia"
2493,"d4","Workforce Development","SVN","slovenia","Develop a clear career structure to ensure effective replacement and retention of eligible and qualified public health candidates."
2494,"r1","Preparedness","SVN","slovenia","Develop a national all-hazards public health emergency preparedness and response plan, to complement and coordinate existing specific plans for different emergencies. Revise existing plans to be congruent with the all-hazards plan."
2495,"r2","Emergency Response Operations","SVN","slovenia","Improve and develop guidelines, fact sheets, and background materials defining the roles and functions of the emergency operations centre, to ensure continuity and traceability of operations."
2496,"r3","Linking Public Health and Security Authorities","SVN","slovenia","Conduct joint exercises and training on a regular basis with all stakeholders, especially in the fields of biological, chemical, radiological and other threats that can impact public health."
